1. Qual o seu nivel de formacao?;2. Qual o seu ano de ingresso?;3. A qual programa esta vinculado?;como voce avalia a qualidade das aulas e do material utilizado?  [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado?  [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado?  [Acervo disponivel para consulta];Como voce avalia a  infraestrutura do programa?  [Infraestrutura geral];Como voce avalia a  infraestrutura do programa?  [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a  infraestrutura do programa?  [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto aluno];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [das normas da Capes];Como voce avalia o seu conhecimento acerca: [do processo de avaliacao da Capes];Em relacao ao seu PROJETO DE PESQUISA, voce esta:;Em relacao a sua PRODUcaO CIENTiFICA, voce esta:;Voce acredita que sua pesquisa possui relevancia e pertinencia social?;Voce acredita que sua pesquisa possui relevancia e pertinencia economica?;Voce acredita que sua pesquisa possui relevancia e pertinencia ambiental?;Voce acredita que sua pesquisa promove avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que sua pesquisa esta alinhada com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados por sua pesquisa e producao cientifica dela decorrente? (Marque todas que se aplicam).;Voce recebe bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)? ;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que sua linha de pesquisa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Producao de tecnologias de APLICAcaO SOCIAL e uma prioridade em seu programa de pos-graduacao?;Alguma tecnologia de aplicacao social ja foi criada como resultado de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa podera gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao? ;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Seu projeto de pesquisa possui parcerias com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Gostaria de adicionar algum comentario referente seu Programa de Pos-Graduacao?;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;5;5;4;4;4;4;5;5;4;4;4;3;5;5;4;5;3;5;5;3;5;3;5;1;4;Empresas, Outros Pesquisadores;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;0;1, em um evento local;1, em um evento internacional;3;4;;5;4;1;4;Aumento nos investimentos na infraestrutura do programa e maior captacao de recursos. Grande parte das melhorias que ocorrem no programa sao em virtude de recursos proprios captados pelos laboratorios. Pouco se ve vindo por parte do programa. ;
Mestrado em andamento;2019;Ciencia e Tec. Alimentos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;4;4;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;0;1, junto a empresas interessadas nos resultados da pesquisa;1;1;1;1;1;Em analise.;Em analise;5;5;;5;5;0;4;;
Doutorado em andamento;2017;Ciencia e Tec. Alimentos;4;4;5;4;4;3;4;5;4;4;4;4;5;4;4;3;3;3;4;4;4;2;5;0;;Empresas, Outros Pesquisadores;1 - CNPq;1, junto a agencias de fomento governamentais;0;;;0;;0;1, em um evento internacional;5;1;;2;2;1;2;;
Doutorado em andamento;2017;Ciencia e Tec. Alimentos;5;5;5;5;5;3;5;5;0;5;5;5;4;5;0;0;0;4;3;4;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;1, em um evento local;4;3;;3;3;0;2;;
Doutorado em andamento;2018;Ciencia e Tec. Alimentos;5;4;4;5;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;1;4;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;0;;0;1, em um evento internacional;4;4;;3;3;0;3;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;4;3;0;5;5;0;0;0;0;4;0;0;3;2;2;1;1;3;2;4;4;4;5;1;5;Sociedade, Empresas;0;0;1;1;0;0;;0;1, em um evento regional;3;3;;4;4;0;4;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;5;4;3;0;0;0;4;5;0;5;0;0;5;5;5;0;0;4;4;5;5;5;4;1;5;Sociedade, Outros Pesquisadores;0;0;1;1;0;1;1;1, em um evento regional;1, em um evento nacional;5;5;;3;5;1;4;;
Mestrado em andamento;2020;Ciencia e Tec. Alimentos;5;5;4;3;3;5;4;4;4;5;4;4;4;4;4;5;5;3;3;4;5;5;5;1;5;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a orgaos e agencias internacionais;1;1;0;0;;1, em um evento regional;1, em um evento regional;5;3;;5;4;1;4;;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;2;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;1;0;Pretendemos apresentar nossos resultados em eventos nacionais e internacionais.;4;4;;5;4;1;5;Gostaria de destacar a mao-de-obra qualificada, tanto em relacao aos docentes quanto discentes. Somos engajados e motivados a fazer pesquisa seria, relevante e de qualidade em prol da nossa sociedade. ;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;5;5;4;4;4;4;3;5;3;4;3;3;5;5;5;5;5;5;4;5;5;4;5;0;;Sociedade, Empresas;1 - Capes;1, junto a agencias de fomento governamentais;1;1;1;0;;0;1, em um evento nacional;4;3;;1;2;0;2;;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;4;4;5;4;4;4;4;3;3;5;4;4;4;3;3;3;3;3;3;4;4;3;4;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - CNPq;0;1;1;0;0;;0;1, em um evento nacional;4;3;;4;4;1;3;;
Doutorado em andamento;2018;Ciencia e Tec. Alimentos;4;4;5;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;3;4;4;5;4;1;4;Sociedade, Empresas, Agencias Governamentais;0;0;1;1;0;1;0;1, em um evento local;1, em um evento nacional;4;4;;4;4;0;4;;
Mestrado em andamento;2019;Ciencia e Tec. Alimentos;3;3;4;4;4;4;3;4;2;4;3;3;3;3;4;5;5;5;5;5;5;5;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;1;0;;1, em um evento nacional;1, em um evento nacional;4;4;;3;4;1;3;Falta mais interesse de comunicacao de parte dos coorientadores do projeto, pois na pandemia ja e dificil e on-line ainda dificulta mais de se esperar a comunicacao .;
Mestrado em andamento;2020;Ciencia e Tec. Alimentos;5;5;5;0;0;0;4;5;5;5;5;5;4;4;4;4;4;4;3;4;4;2;5;1;5;Empresas;1 - CNPq;0;1;1;1;1;0;0;1, em um evento regional;2;4;;2;4;0;3;;
Mestrado em andamento;2019;Ciencia e Tec. Alimentos;5;5;5;4;4;3;5;5;4;5;0;0;4;4;4;4;3;5;4;4;3;2;4;1;4;Sociedade, Empresas, Outros Pesquisadores;1 - CNPq;0;0;;;0;;0;1, em um evento nacional;3;3;;2;2;1;3;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;1;5;Sociedade, Empresas;1 - Fapemig;0;1;1;1;1;0;1, em um evento regional;1, em um evento regional;5;4;;5;5;1;5;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;4;4;5;0;0;0;5;5;0;5;0;5;5;5;4;4;4;4;4;5;5;5;5;1;5;Sociedade, Empresas;0;0;1;1;1;0;;0;0;5;5;;3;4;0;3;No meu programa a internacionalizacao ja iniciou.;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;4;3;3;3;3;3;4;3;3;4;3;3;4;4;3;3;3;4;2;3;4;3;4;1;4;Sociedade, Empresas;1 - Capes;0;1;1;0;1;0;0;1, em um evento nacional;3;4;;3;4;0;2;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;5;5;5;4;5;4;4;5;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;;0;1;1;1, em um evento nacional;1, em um evento nacional;4;3;;5;4;0;4;;
Mestrado em andamento;2021;Ciencia e Tec. Alimentos;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;5;5;4;4;5;4;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;1;0;;0;0;3;3;;3;3;0;2;;
Mestrado em andamento;2019;Ciencia e Tec. Alimentos;5;5;5;3;3;2;4;4;4;5;5;5;4;4;3;3;3;3;3;3;3;3;5;0;;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;0;3;3;;3;3;0;3;;
Doutorado em andamento;2021;Ciencia e Tec. Alimentos;4;4;4;4;4;3;3;4;4;5;5;5;4;4;4;3;2;4;4;4;4;4;4;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;0;0;0;;0;0;2;4;;3;4;0;3;;
Mestrado em andamento;2020;Ciencia e Tec. Alimentos;5;4;4;4;4;5;5;5;5;5;5;5;4;3;3;3;3;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;0;0;0;5;3;;3;3;0;2;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;4;4;4;5;5;0;4;5;4;4;5;4;4;4;4;2;2;4;3;3;3;2;3;1;4;Sociedade, Empresas, Outros Pesquisadores;0;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;3;4;;3;4;0;3;;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;4;5;5;5;5;5;5;5;5;5;4;5;5;4;4;4;4;4;3;5;5;3;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;1, em um evento nacional;1, em um evento nacional;4;4;;3;4;0;3;;
Doutorado em andamento;2018;Ciencia e Tec. Alimentos;3;3;3;3;3;3;4;4;3;4;3;3;4;3;3;3;3;4;3;4;4;4;4;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;0;;0;0;4;3;;4;3;0;4;;
Doutorado em andamento;2018;Ciencia e Tec. Alimentos;3;3;3;3;3;3;4;4;3;4;3;3;4;3;3;3;3;4;3;4;4;4;4;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;0;;0;0;4;3;;4;3;0;4;;
Doutorado em andamento;2020;Ciencia e Tec. Alimentos;4;4;5;5;3;3;5;5;5;5;5;5;4;3;3;2;2;5;3;5;4;3;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;0;0;5;4;;5;5;1;5;;
Mestrado em andamento;2020;Ciencia e Tec. Alimentos;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;1;4;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;1;0;1, em um evento local;1, em um evento local;4;3;;3;4;0;2;;
Doutorado em andamento;2019;Ciencia e Tec. Alimentos;4;5;5;4;4;4;5;5;5;5;4;5;4;5;4;4;4;5;5;5;5;3;5;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;0;0;4;4;;4;4;0;4;;
Doutorado em andamento;2018;Ciencia e Tec. Alimentos;4;4;4;5;5;5;5;5;4;5;3;3;3;3;3;3;3;4;3;3;4;3;4;1;4;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;1, em um evento local;1, em um evento internacional;3;4;;5;5;1;5;;
Mestrado em andamento;2020;Ciencia e Tec. Alimentos;4;4;5;3;3;2;4;4;1;3;3;3;3;3;4;3;3;4;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;1, junto a agencias de fomento governamentais;0;;;1;1;1, em um evento nacional;1, em um evento nacional;5;4;;3;4;0;3;;
Doutorado em andamento;2020;Ciencia Florestal;4;4;5;5;5;5;5;4;5;5;5;5;4;4;4;0;0;4;3;3;3;4;4;0;;Empresas, Outros Pesquisadores, Agencias Governamentais;0;1, junto a empresas interessadas nos resultados da pesquisa;1;0;0;0;;0;0;4;0;0;;;0;1;0;0
Doutorado em andamento;2018;Ciencia Florestal;4;4;4;3;3;3;5;5;0;5;0;0;4;4;3;3;3;4;4;5;4;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;0;1, em um evento local;0;5;5;;3;4;0;3;;
Mestrado em andamento;2019;Ciencia Florestal;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;4;4;5;5;4;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;0;pretendo apresentar;pretendo apresentar;4;4;;4;4;0;5;;
Mestrado em andamento;2019;Ciencia Florestal;5;4;5;4;4;4;4;5;4;5;4;4;4;5;5;3;4;5;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;0;;;0;;0;0;5;4;;5;5;0;4;;
Doutorado em andamento;2020;Ciencia Florestal;5;5;4;5;5;3;5;5;5;5;5;4;4;5;5;4;2;3;2;4;4;5;4;1;4;Sociedade, Empresas, Outros Pesquisadores;0;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;0;1, em um evento nacional;1, em um evento nacional;5;5;;3;5;0;3;Os esforcos principalmente para pesquisas de tecnologias sustentaveis sao de grande excelencia no meu programa, porem por falta de recursos muitos 0 conseguem ser terminados com a excelencia que deveria, prejudicando o avanco  na utilizacao de boas tecnologias sustentaveis e solucoes para os atuais problemas ambientais que enfrentamos.  ;Acho que deveria aumentar os esforcos e vinculos com outras instituicoes  para que possamos lutar para que os investimentos na ciencia 0 cessam, as vezes nos alunos temos a sensacao de que nada e feito, para lutarmos por melhorias as  universidades e pro-reitoria deveriam ter mais voz ativa e lutar por todo um legado na pesquisa.  
Mestrado em andamento;2020;Ciencia Florestal;4;4;4;0;4;0;5;4;4;4;0;0;4;0;0;0;0;4;3;4;5;5;5;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento local;1, em um evento internacional;4;3;;4;4;0;3;;
Doutorado em andamento;2017;Ciencia Florestal;4;3;4;4;3;3;5;4;2;3;3;3;5;1;1;2;1;4;3;4;4;5;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;0;;1, em um evento regional;1, em um evento regional;5;3;;4;3;1;3;Ao programa falta empatia pelo corpo discente, 0 ha bom senso em suas decisoes e dogmas sao criados sem o respaldo regimental;Ao longo dos anos, criou-se um mecanismo vagaroso e ineficiente de procedimentos juntos a PPG (processos infindaveis, um conselho conservador e formularios e etapas varias). e preciso tornar isso facil e de bom senso 
Mestrado em andamento;2018;Ciencia Florestal;5;4;5;5;5;5;5;4;4;5;5;5;5;4;4;3;3;5;4;4;4;5;5;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;0;0;1;0;1, em um evento nacional;1, em um evento nacional;5;4;;4;5;0;3;;
Mestrado em andamento;2019;Ciencia Florestal;4;4;4;5;5;5;5;5;4;5;5;4;5;3;3;2;2;4;4;5;4;3;5;1;5;Empresas;1 - CNPq;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;0;;0;1, em um evento internacional;2;4;;5;4;0;4;;
Mestrado em andamento;2020;Ciencia Florestal;5;5;4;5;5;5;4;5;5;5;5;5;5;3;3;3;3;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;1;0;1, em um evento internacional;5;4;;3;4;1;3;Somente agradecer a todos envolvidos no Programa, sempre muito prestativos, dispostos a acolher e ajudar. ;Todas as vezes que precisei recorrer a PPG foi muito bem orientada e atendida. 
Doutorado em andamento;2016;Ciencia Florestal;3;4;2;4;5;3;4;3;4;5;3;4;4;3;3;2;2;3;1;2;4;4;5;0;;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;0;;0;1, em um evento nacional;4;3;;2;1;0;1;;
Mestrado em andamento;2019;Ciencia Florestal;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - CNPq;0;1;1;0;1;0;0;0;5;5;;5;5;1;2;Tudo bem;Tudo bem
Doutorado em andamento;2019;Ciencia Florestal;5;5;5;5;5;5;3;5;5;5;4;4;5;5;5;4;2;4;3;3;4;3;4;1;5;Sociedade, Empresas;1 - Capes;0;0;;;0;;0;1, em um evento local;3;3;;4;4;0;4;;
Doutorado em andamento;2017;Ciencia Florestal;4;4;5;4;4;4;5;5;5;5;5;5;4;4;4;3;3;5;2;3;4;4;5;1;5;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;0;0;0;;pretendo;1, em um evento internacional;3;3;;3;3;0;3;;
Doutorado em andamento;2017;Ciencia Florestal;3;3;2;3;3;2;4;3;3;4;2;2;3;3;3;3;3;5;3;4;4;5;5;1;4;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;0;0;1, em um evento internacional;4;3;;5;4;1;5;;
Doutorado em andamento;2017;Ciencia Florestal;3;3;3;1;4;3;5;3;3;3;1;1;4;4;5;5;5;4;3;4;4;5;5;0;;Empresas, Agencias Governamentais;1 - Capes;0;1;1;0;0;;1, em um evento internacional;1, em um evento internacional;4;2;;1;1;0;5;;
Doutorado em andamento;2017;Ciencia Florestal;4;4;4;4;3;3;5;3;4;5;4;4;5;3;3;3;3;3;5;3;3;5;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento nacional;3;3;;2;5;0;4;O programa se esforca muito para auxiliar os pos-graduandos e atender as exigencias que precisam ser cumpridas mediante os orgaos financiadores e tudo mais. Tem estado muito aberto ao dialogo, a nos ouvir e a nos esclarecer sempre. Especialmente agora durante a pandemia. 0 mede esforcos. A secretaria como um todo e nota 10. A coordenacao poderia ser um pouco mais aberta as demandas dos pos-graduandos, mas creio que estamos no caminho. ;Gostaria de ver a PRPPG mais atuante diante do cenario catastrofico que a Ciencia e a Pesquisa estao passando. Cortes e mais cortes de bolsas, etc etc estamos sendo massacrados. A desmotivacao esta sendo constante e ampliada ainda mais pela pandemia. 
Doutorado em andamento;2018;Ciencia Florestal;4;3;3;5;5;5;5;5;4;5;5;5;5;4;4;3;3;4;4;5;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;1;0;;1, em um evento nacional;1, em um evento nacional;5;3;;4;4;0;5;;
Mestrado em andamento;2019;Ciencia Florestal;2;3;0;3;4;0;4;2;5;5;5;5;4;4;3;0;0;2;2;4;4;4;4;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;0;0;1;0;0;0;4;4;;5;4;0;4;;
Doutorado em andamento;2018;Ciencia Florestal;4;3;5;4;4;4;5;5;5;5;5;4;4;4;4;4;4;5;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;1;1;1, em um evento nacional;1, em um evento nacional;5;3;;4;3;0;3;;
Mestrado em andamento;2020;Ciencia Florestal;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;0;1, em um evento internacional;5;5;;5;5;0;5;;
Mestrado em andamento;2020;Ciencia Florestal;5;5;4;5;5;5;4;5;5;5;4;5;4;4;3;3;4;4;3;4;5;4;4;0;;Empresas, Outros Pesquisadores;1 - Fapemig;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;3;3;;3;4;0;3;;
Doutorado em andamento;2019;Ciencia Florestal;4;3;3;5;5;0;5;5;5;5;5;4;5;5;4;4;4;5;4;5;4;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;5;3;;3;3;0;3;;
Doutorado em andamento;2019;Ciencia Florestal;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;1;5;Sociedade, Empresas, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;1;1;1;1;1;1, em um evento local;1, em um evento local;5;4;;3;5;0;3;;
Doutorado em andamento;2020;Ciencia Florestal;4;3;3;4;4;4;4;4;3;5;4;4;4;4;4;4;4;5;3;4;5;5;5;0;;Sociedade, Empresas, Outros Pesquisadores;1 - CNPq;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;0;;1, em um evento nacional;1, em um evento internacional;2;2;;3;4;0;4;;
Doutorado em andamento;2017;Ciencia Florestal;3;3;3;1;4;3;5;3;3;3;1;1;4;4;5;5;5;4;3;4;4;5;5;0;;Empresas, Agencias Governamentais;1 - Capes;0;1;1;0;0;;1, em um evento internacional;1, em um evento internacional;4;2;;1;1;0;5;;
Doutorado em andamento;2017;Ciencia Florestal;5;5;3;5;5;3;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;4;5;1;5;Empresas, Outros Pesquisadores;1 - CNPq;0;1;1;0;0;;1, em um evento internacional;1, em um evento internacional;4;4;;5;3;1;5;;
Mestrado em andamento;2019;Ciencia Florestal;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;1;5;Empresas, Outros Pesquisadores;1 - CNPq;1, junto a empresas interessadas nos resultados da pesquisa;1;0;0;0;;0;1, em um evento nacional;3;4;;4;5;0;3;;
Doutorado em andamento;2020;Ciencia Florestal;4;4;5;4;4;4;5;3;5;5;4;4;5;4;3;2;5;2;2;2;3;4;3;0;;Empresas, Agencias Governamentais;0;1, junto a empresas interessadas nos resultados da pesquisa;1;0;0;0;;0;1, em um evento nacional;2;4;;4;4;0;4;A mudanca de coordenacao foi muito positiva. ;
Mestrado em andamento;2019;Ciencia Florestal;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;0;;1, em um evento local;1, em um evento internacional;3;4;;3;4;0;2;;
Mestrado em andamento;2020;Ciencia Florestal;4;4;4;5;5;5;5;5;5;5;5;4;4;4;4;0;0;4;3;4;4;3;4;1;4;Empresas, Outros Pesquisadores;1 - Fapemig;1, junto a empresas interessadas nos resultados da pesquisa;1;1;0;0;;0;1, em um evento nacional;3;4;;3;4;0;3;;
Mestrado em andamento;2020;Ciencia Florestal;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;1;1;0;0;0;5;4;;5;5;1;5;;
Doutorado em andamento;2020;Ciencia Florestal;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;1;4;Sociedade, Outros Pesquisadores;0;0;1;1;0;1;0;1, em um evento nacional;1, em um evento nacional;5;4;;4;4;0;3;0;0
Mestrado em andamento;2019;Ciencia Florestal;4;5;5;5;3;0;5;4;5;5;5;5;5;4;3;0;3;3;3;4;4;5;3;0;;Empresas, Outros Pesquisadores, Agencias Governamentais;1 - CNPq;0;1;1;0;0;;1, em um evento nacional;1, em um evento nacional;5;3;;4;4;0;3;Em relacao a nota dada sobre Laboratorios e Salas de Estudos, foi direcionada ao segundo componente, visto que acredito que os Laboratorios sao muito satisfatorios.;
Mestrado em andamento;2020;Ciencia Florestal;4;4;3;4;4;5;4;5;5;5;4;5;4;3;3;2;2;4;3;5;4;5;5;1;5;Empresas, Agencias Governamentais;0;1, junto a empresas interessadas nos resultados da pesquisa;1;0;0;0;;1, em um evento regional;1, em um evento internacional;5;3;;3;3;0;3;O programa tem buscado solucionar os principais problemas enfrentados pelos discentes. Sao muito interessados e buscam motivar a todos;
Mestrado em andamento;2019;Ciencia Florestal;3;3;2;3;3;3;4;3;3;4;3;2;4;3;3;3;3;4;3;2;4;3;5;1;4;Empresas, Outros Pesquisadores;1 - CNPq;0;1;1;0;0;;0;0;3;3;;3;3;0;1;;
Mestrado em andamento;2020;Ciencia Florestal;5;5;4;5;5;4;5;5;5;5;5;5;5;4;4;4;4;4;4;3;4;5;5;1;5;Empresas, Outros Pesquisadores;1 - Capes;0;1;1;0;0;;0;1, em um evento internacional;1;5;;4;4;0;3;;
Doutorado em andamento;2018;Ciencia Florestal;5;4;3;4;4;3;5;3;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a empresas interessadas nos resultados da pesquisa;1;0;0;1;1;1, em um evento regional;1, em um evento internacional;5;4;;3;5;0;3;Estou satisfeita. Seria interessante definir os objetivos e valores e melhorar a internacionalizacao. Reconheco tambem que preciso melhorar a fluencia no ingles para isso.;Eu sinto falta de reunioes gerais para repassar alguns assuntos como normas e bolsas. Isso foi mostrado apenas no primeiro semestre do mestrado.
Doutorado em andamento;2018;Ciencia Florestal;5;4;4;5;5;4;5;5;5;5;5;4;4;5;4;3;3;5;5;4;5;5;4;1;5;Empresas;1 - CNPq;0;1;1;0;1;0;0;1, em um evento internacional;4;4;;4;4;0;3;;
Mestrado em andamento;2020;Ciencia Florestal;5;5;5;5;5;5;4;4;5;5;5;5;4;4;4;4;4;3;3;3;4;3;3;1;3;Sociedade, Agencias Governamentais;1 - Capes;0;1;;0;1;0;0;0;3;3;;3;3;1;2;;
