Como voce identifica seu genero?;Qual o ultimo nivel de formacao que voce obteve na UNIFEI?;Qual o seu ano de conclusao?;A qual programa esteve vinculado?;Em uma escala de 0 a 10, o quanto voce recomendaria o Programa em que realizou sua pos-graduacao na UNIFEI?;Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Infraestrutura geral];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Em relacao a sua TESE/DISSERTAcaO, voce ficou:;Em relacao a sua PRODUcaO CIENTiFICA, voce ficou satisfeito:;Voce acredita que a sua pesquisa teve relevancia e pertinencia social?;Voce acredita que a sua pesquisa teve relevancia e pertinencia economico?;Voce acredita que a sua pesquisa teve relevancia e pertinencia ambiental?;Voce acredita que a sua pesquisa promoveu o avanco cientifico?;Voce acredita que sua pesquisa esteve alinhada com missao, visao e objetivos de seu Programa?;Voce recebeu bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)?;O programa de pos-graduacao em que atuou tem como objetivo a producao de inovacao tecnologica?;Voce acredita que a linha de pesquisa em que atuou se destaca pela producao de inovacao tecnologica?;Voce depositou alguma patente proveniente de sua pesquisa?;O programa de pos-graduacao em que atuou tem como objetivo a producao de tecnologias de APLICAcaO SOCIAL?;Alguma tecnologia de aplicacao social foi criada como resultado de sua pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a sociedade, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa gerou solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual foi o principal impacto social promovido por seu projeto de pesquisa? (Marque todas aplicaveis);Seu projeto de pesquisa possuiu parcerias com instituicoes internacionais de pesquisa ou ensino?;Quando aluno da UNIFEI, teve a oportunidade de fazer parte da sua pos-graduacao em outra instituicao (Nacional ou Internacional)?;Em sua trajetoria profissional, teve a oportunidade de atuar fora do Brasil?;Caso se sinta a vontade, pedimos que compartilhe como fez para pleitear a oportunidade fora do Brasil.;Qual sua colocacao profissional atualmente?;Seu emprego esta relacionado a sua area de formacao na pos-graduacao da UNIFEI?;Voce teve dificuldade para conseguir o primeiro emprego?;Caso tenha tido/tenha dificuldade para conseguir o primeiro emprego, o que poderia ser melhorado no programa, visando maior insercao no mercado de trabalho?;Teve bolsa de iniciacao cientifica na graduacao?;Voce teve recursos e estrutura fisica suficiente para a conducao dos seus experimentos?;Gostariamos de saber sua satisfacao pessoal e profissional com relacao a sua formacao na UNIFEI. Fique a vontade em descreve-las.;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Feminino;Mestrado;2019;Engenharia Mecanica;10;3;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Por enquanto nao;Nao;2;Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Estudante de doutorado na UNIFEI;;;;;Sim;Fiquei satisfeita com minha formacao na UNIFEI;
Masculino;Mestrado;2018;Ciencia e Tecnologia da Computacao;9;3;3;3;3;3;2;3;3;3;2;2;2;2;2;2;3;3;3;;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;;Sim;Nao se aplica (Desempregado);Melhorar a Internacionalizacao do programa;Sim;Sim;Sou muito satisfeito com minha formacao na UNIFEI. Vejo que tenho uma base boa de conhecimento isso e gracas ao otimo ensino da instituicao tanto na graduacao como pos graduacao. ;Gostaria de parabeniza-los pelo trabalho que esta sendo desenvolvido. Minha recomendacao seria no sentido de  haver um maior incentivo a bolsas sanduiche para a pos graduacao.
Masculino;Doutorado;2018;Fisica;10;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;1;1;1;1;1;2;1;1;1;2;2;3;2;2;2;2;Sim;Sim;Sim;Sim;Nao;Nao;;Sim;Sim;1;Avanco cientifico;Sim;Nao;Nao;;Docente;Sim;Sim;Poucos concursos publicos ;Sim;Sim;Eu tenho gratidao eterna pela Universidade Federal de Vicosa;Quero agradecer pela excelencia no que conduz a pos graduacao, terminei num programa CAPES 2 em que para mim devido a logistica da UNIFEI,  tive acesso  a meios de formacao que amigos meus que terminaram em instituicoes com nota 7 da CAPES nao tiveram!
Feminino;Doutorado;2016;Engenharia Civil;9;3;2;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;3;3;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Nao;;Sim;Sim;Extremamente satisfeita! ;
Feminino;Doutorado;2020;Ciencia e Tecnologia da Computacao;10;3;2;3;2;2;2;2;3;2;3;3;2;2;2;2;2;3;3;2;Sim;Nao;Sim;Nao;Nao;Sim;Sim;Sim, pretendo apresentar;sim, pretendo apresentar;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;empregada ONG;Nao;Nao;;Nao;Sim;Crescimento profissional e pessoal sem precedentes;
Masculino;Mestrado;2019;Agroquimica;8;2;2;3;2;2;2;3;2;3;2;2;2;3;2;2;3;2;3;2;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Estudante de Doutorado;Sim;Nao se aplica (Desempregado);;Sim;Sim;Apesar de algumas dificuldades, o programa de Agroquimica oferece boas oportunidades de aprendizado e crescimento intelectual para aqueles que se dispoe a faze-lo;
Masculino;Doutorado;2019;Administracao;10;3;2;1;3;3;3;3;2;3;;3;3;3;2;2;3;2;3;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;;
Masculino;Doutorado;2018;Muticentrico em Quimica;10;3;2;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Sim;Sim;Sim;Indo atras. Entrando em contato direto com o orientador de la. Trocando ideia por um tempo via e-mail.;Docente-Pesquisador;Sim;Nao;;Nao;Sim;Foi a melhor expreciencia de minha vida. Cresci tanto ao nivel profissional como pessoal. Ainda mantenho contato com colegas e amigos da UNIFEI. Obrigado sempre Brasil!;Obrigado por manter as portas abertas para estudantes de outros paises. No meu pais e muito dificil fazer uma pos. 
Masculino;Mestrado;2018;Muticentrico em Quimica;8;2;2;3;2;2;1;2;2;2;2;2;2;3;2;2;2;3;2;2;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Discente;Sim;Nao;;Sim;Sim;Sem duvidas que uma pos graduacao e engrandecedora. Aprendi a ter responsabilidade, compromisso, escrever bem, melhorar o ingles, fazer network, adquirir muito conhecimento.;A cobranca sobre qualidade de pesquisa acontece antes de ter estrutura para desenvolver essas pesquisas.
Masculino;Doutorado;2020;Fisica;10;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;2;2;;Sim;Sim;Nao;Sim;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Sim;Sim;Nao;A partir do Programa de Doutorado Sanduiche no Exterior (PDSE) da CAPES.;Bolsista de pos-doutorado;;;Uma disciplina atualizada de analise de dados faria toda a diferenca.;Sim;Sim;Eu amo a UNIFEI, sou suspeito para falar. O nivel de pesquisa e excelente e super comparavel a outras universidades internacionais.;A PPG sempre me ajudou em tudo que precisei, os servidores foram sempre solicitos e precisos.
Feminino;Mestrado;2013;Engenharia Mecanica;10;3;2;2;3;2;2;3;3;3;3;3;3;2;2;3;2;2;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Doutoranda no Programa de Pos Graduacao em Engenharia Mecanica;;;;Nao;Sim;Me sinto muito satisfeita em ter feito meu Mestrado na UNIFEI e no Programa de Pos Graduacao em Engenharia Mecanica. Me proporcionou maior embasamento cientifico, analise critica e saber lidar com imprevistos que as vezes acontecem na conducao da pesquisa. Como pretendo seguir a carreira de docente a Pos Graduacao me possibilitou crescimento profissional e varias oportunidades.;Nao
Feminino;Mestrado;2020;Engenharia Mecanica;10;3;3;3;2;3;2;3;3;3;3;3;3;2;2;3;3;2;3;3;Sim;Sim;Nao;Nao;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Sim;Sim;;
Feminino;Mestrado;2020;Ciencia e Engenharia de Materiais;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Profissional de ONG;Sim;Nao;Avalio que a criacao de uma pagina dentro do site do programa apresentando os estudantes, temas de suas pesquisas, link do lattes e linkedin e contato, permanecendo os dados dos egressos dentro de um determinado prazo (ex: 3 anos). Estes dados poderiam ser consultados por empresas e organizacoes interessadas nos perfis profissionais formados pelo Programa e possibilitar maiores oportunidades aos profissionais. ;Nao;Sim;Tenho enorme satisfacao em ser egressa de um programa de pos graduacao da UNIFEI. Foram 2 anos de muito aprendizado e contato com uma estrutura impecavel e uma gestao muito organizada, o que torna a universidade um diferencial entre muitas outras no pais. ;Nao. 
Masculino;Mestrado;2013;Ciencia da Computacao;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Outras ocupacoes na iniciativa privada;Sim;Nao;;Sim;Sim;Totalmente satisfeito quanto ao corpo docente, discente e tecnicos administrativos que interagiram comigo de alguma forma, durante o periodo que estive vinculado ao programa.;
Masculino;Doutorado;2017;Ciencia e Tecnologia da Computacao;10;3;2;2;3;3;2;2;3;3;3;3;3;2;2;2;2;2;3;3;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Sim;Maiores oportunidades/incentivos para formacao na area de docencia.;Sim;Sim;No geral, fiquei muito satisfeito com a formacao no programa, apesar de minha producao cientifica ter sido aquem do esperado (mais por situacoes particulares do grupo de pesquisa em si e falta de experiencia, do que pelo programa em si). Hoje, em outra instituicao, vejo o quanto o programa de Ciencia e Tecnologia da Computacao da UNIFEI nos da otima formacao, e como o programa e a UNIFEI em geral nos dao boas condicoes de executar pesquisa.;
Masculino;Mestrado;2019;Ciencia e Tecnologia da Computacao;10;3;3;2;2;2;2;3;3;3;3;3;2;3;3;2;2;2;3;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Avanco cientifico;Nao;Nao;Sim;;Pesquisador;;;;Nao;Sim;O programa no qual estudei foi muito bom principalmente pela qualidade dos professores das diferentes disciplinas ministradas. Pessoalmente fiquei muito satisfeito de poder estudar nesta instituicao e profissionalmente ganhei muito conhecimento de aplicacao direta na producao agricola.;
Masculino;Mestrado;2018;Ciencia da Computacao;10;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;2;3;3;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Feminino;Mestrado;2019;Engenharia Quimica;9;3;3;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Estudante de doutorado;Sim;Nao se aplica (Desempregado);;Nao;Sim;;
Feminino;Doutorado;2020;Administracao;10;3;2;2;2;2;2;3;3;3;3;2;2;2;3;3;3;2;2;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Masculino;Doutorado;2019;Muticentrico em Quimica;10;2;2;2;3;2;2;3;3;3;3;3;3;3;3;2;2;3;3;3;Sim;Sim;Sim;Nao;Nao;Nao;;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Sim;Sim;Ficar atento aos editais, buscar um contato de pesquisador externo, ter alto rendimento no PPG.;Pesquisador;Sim;Nao;;Nao;Sim;A minha satisfacao e muito grande, atendeu todas as minhas expectativas.;
Masculino;Doutorado;2021;Estatistica Aplicada e Biometria;9;3;2;2;3;3;2;3;3;3;3;3;2;2;3;3;2;3;3;2;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Nao;Nao;;Sim;Sim;A UNIFEI fez parte de toda a minha formacao profissional, e sou mto grato por isso.;Eles desempenham um bom papel. Viabilizando a pesquisa de milhares de estudantes.
Feminino;Mestrado;2016;Economia;8;3;3;3;2;3;2;3;2;3;3;2;3;2;2;1;3;1;2;2;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Pesquisador;Sim;Nao;;Sim;Sim;;
Masculino;Mestrado;2020;Matematica;9;3;3;3;3;3;3;3;3;3;3;3;2;3;3;1;3;1;2;2;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;1;Nenhuma dos impactos listados;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;Estou muito satisfeito com as experiencias proporcionadas pela UNIFEI e pelo PPG-MAT.;
Masculino;Mestrado;2019;Ciencia e Tecnologia da Computacao;9;3;2;3;3;3;2;3;2;3;3;Sem condicoes de avaliar;2;2;3;2;2;3;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);Acho que a coisa mais importante a ser feita, e a pos-graduacao ser considerada como experiencia de trabalho. e injusto eu me colocar no mercado de trabalho como mestre e sem experiencia. Acredito, que com uma maior interacao das universidades com empresas, facilitaria o reconhecimento do pos-graduando.;Sim;Sim;A UNIFEI e incrivel, e eu recomendaria a universidade para quem quisesse. Eu acredito que os departamentos e a universidade precisam enfatizar em inserir os alunos no mercado de trabalho e nao so para a area academica. Senti falta de incentivos a estagios em empresas durante toda a minha passagem pela UNIFEI, e em contra partida ha uma pressao enorme aos alunos para estagios em laboratorios e de IC. ;Nao
Feminino;Mestrado;2019;Engenharia Quimica;10;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;Petrobras;Nao;Sim;Sim;Nao;Nao;;Nao;Nao;3;Avanco cientifico;Nao;Nao;Sim;Programas de intercambio oferecidos pela UNIFEI;Pesquisador;Sim;Nao;;Sim;Sim;A UNIFEI me proporcionou uma formacao exemplar que me orgulho e sou reconhecida onde trabalho. Pensamento critico e conhecimento solido sao pilares da minha formacao gracas ao trabalho desenvolvido com professores e alunos ao longo do meu mestrado. O apoio da secretarias e professores para incentivar nosso melhor resultado e exemplar.;Sempre prestativos ao esclarecimento de informacoes
Feminino;Doutorado;2020;Desenvolvimento, Tecnologias e Sociedade;10;3;3;3;2;2;3;3;3;3;3;3;3;2;2;2;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Outras ocupacoes na iniciativa privada;Sim;Sim;Visao mais voltada para o mercado de trabalho;Sim;Sim;De excelencia!;
Masculino;Doutorado;2018;Engenharia Eletrica;10;3;2;2;3;3;3;3;3;3;2;2;3;2;1;3;1;3;3;2;Bolsa da OEA;Nao;Sim;Nao;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Nao;Nao;Sim;;Docente;Sim;Nao;;Nao;Sim;e uma otima universidade e os docentes sao muito bons, so que para nos os estrangeiros e um pouco complicado pegar o jeito de pesquisar que tem voces;
Masculino;Mestrado;2017;Arquitetura e Urbanismo;10;3;3;2;3;3;3;3;3;3;2;3;3;2;3;2;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Sim;Nao;;Pesquisador/Doutorando do PPG.au/UNIFEI;Sim;Nao;;Sim;Sim;;
Feminino;Doutorado;2018;Ciencia e Tecnologia da Computacao;9;3;3;2;2;2;3;3;3;2;3;2;2;2;3;3;2;3;3;2;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;3;Avanco cientifico;Sim;Nao;Nao;;Nao se aplica (desempregado);;;;Nao;Sim;;
Feminino;Mestrado;2013;Ciencia e Tecnologia da Computacao;9;2;2;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;1;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Pesquisador;Sim;Sim;;Sim;Sim;;
Masculino;Mestrado;2017;Engenharia Eletrica;10;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;Sim - Empresa privada;Sim;Sim;Sim;Nao;Nao;;Sim;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Pesquisador;;;;Sim;Sim;;
Feminino;Doutorado;2019;Administracao;10;2;2;3;3;3;3;2;3;2;3;Sem condicoes de avaliar;Sem condicoes de avaliar;2;2;3;3;3;3;3;Sim;Sim;Sim;Sim;Nao;Nao;;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;Sim;Sim;Nao;;Pesquisador;Sim;Nao;;Sim;Sim;;
Feminino;Doutorado;2012;Fisiologia Vegetal;10;3;2;2;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;2;1;3;3;3;3;3;2;2;2;2;3;2;Sim;Sim;Sim;Nao;Nao;Nao;;Sim;Sim;3;Avanco cientifico;Nao;Sim;Nao;Fui contemplada com uma bolsa de merito academico. ;Bolsa de Fixacao;Sim;Nao se aplica (Desempregado);;Sim;Sim;O programa considero otimo, a orientacao nem tanto. ;
Feminino;Doutorado;2016;Engenharia Eletrica;10;3;3;3;2;2;2;2;2;2;2;3;3;3;3;2;2;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Sim;Nao;;Produtor rural;Sim;Sim;;Sim;Sim;;
Feminino;Doutorado;2018;;10;3;3;3;3;3;2;3;3;3;3;2;2;2;2;2;2;2;2;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;Nao;Sim;Nao;;Nao se aplica (desempregado);;Sim;;Sim;Sim;Muito satisfeita ;
Feminino;Mestrado;2017;Engenharia Eletrica;10;3;3;3;3;3;2;3;3;3;3;3;3;2;3;2;2;3;3;2;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;3;Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Sim;;Nao;Sim;;
Feminino;Doutorado;2013;Ciencia e Tecnologia da Computacao;10;3;3;3;3;3;3;3;2;3;3;3;3;2;3;2;3;2;3;2;Sim;Nao;Sim;Nao;Nao;Nao;;Nao;Sim;1;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;;
Masculino;Mestrado;2020;Ciencia e Tecnologia da Computacao;10;3;3;3;3;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Sim;Parceria para aplicacao do conhecimento dentro de empresas como exemplo;Sim;Sim;Muito satisfeito;Apenas parabenizar pela conducao dos programas dada a atual situacao que a Ciencia brasileira se encontra, que e deploravel.
Masculino;Mestrado;2020;Engenharia de Producao;8;2;2;2;2;2;3;2;3;2;3;2;2;2;2;2;3;3;2;2;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;2;Licenciamento de processos ou produtos, Avanco cientifico;Nao;Nao;Nao;;Estudante de doutorado;Sim;Nao;;Sim;Sim;;
Masculino;Mestrado;2020;Engenharia de Materiais;7;2;3;3;3;3;2;3;3;3;3;3;2;2;3;2;3;3;2;2;Sim;Nao;Nao;Nao;Nao;Nao;;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;Eu acredito que a UNIFEI me proporcionou o contato com diferentes areas e tematicas por meio de eventos locais e isso e muito importante para a formacao intelectual e humana dos estudantes. Tambem tive a oportunidade de ser protagonista, no sentido de organizar eventos, participar da organizacao de eventos, etc.;Nao.
Masculino;Mestrado;2018;Ciencia e Tecnologia da Computacao;8;2;2;3;2;2;3;3;3;3;3;2;2;3;2;3;2;2;2;2;Nao;Nao;Sim;Sim;Nao;Sim;Sim;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;A UNIFEI me proporcionou grandes aprendizados na minha area de formacao. Aprendi a me desenvolver como profissional e ser humano, podendo implementar meus conhecimento no ambiente de trabalho e na vida pessoal. Sou grato a instituicao pelo acolhimento, ensinamento e oportunidade fazer parte da administracao como servidor.;
Masculino;Mestrado;2017;Ciencia e Tecnologia da Computacao;10;2;2;3;2;2;3;3;2;2;2;2;2;2;3;2;3;2;3;;Sim;Nao;Sim;;Nao;Sim;Nao;Sim;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Nao;;Sim;Sim;Muito satisfeito. A UNIFEI fez toda a diferenca na minha formacao profissional. A UNIFEI possui um nivel de excelencia. ;
Masculino;Doutorado;2016;Ciencia e Tecnologia da Computacao;10;3;3;Sem condicoes de avaliar;3;3;2;3;3;3;3;2;2;3;2;2;2;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Empresario ou autonomo;Sim;Sim;Trabalhar melhor com as empresas privadas, os alunos sao muito direcionados a ser professor universitario!;Sim;Sim;A melhor ;Sempre fui muito bem atendido por todos!
Masculino;Doutorado;2017;Ciencia e Tecnologia da Computacao;9;2;2;3;3;2;2;2;3;2;3;2;3;2;2;2;3;3;3;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Sim;;Nao;Sim;Sobre meu doutorado estou totalmente satisfeito devido a total liberdade ao qual tive para realizacao da minas pesquisa. Com relacao ao meu mestrado fiquei insatisfeito devido ao baixa liberdade e assedio modal da pos-graduacao de Muticentrico em Quimica.    ;Facam estudos de assedio moral a alunos de pos graduacao principalmente nos cursos de Muticentrico em Quimica e Ciencia e Tecnologia da Computacao    
Masculino;Doutorado;2019;Ciencia e Engenharia de Materiais;10;3;3;2;2;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Masculino;Mestrado;2012;Engenharia de Materiais Fisica;10;2;2;2;3;3;2;2;2;2;2;2;2;3;2;3;2;3;3;;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Sim;Sim;Nao;;Docente;Sim;Sim;;Sim;Sim;Satisfeito.;
Masculino;Mestrado;2020;Ciencia da Computacao;10;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;3;3;Sim;Nao;Nao;Nao;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Outras ocupacoes na iniciativa privada;Nao;Nao;;Nao;Nao;;
Feminino;Mestrado;2018;Ciencia e Tecnologia da Computacao;9;3;3;3;2;2;2;3;2;2;2;2;2;3;3;3;2;3;3;;Nao;Nao;Nao;Sim;Nao;Nao;;Pretendo apresentar;Pretendo;2;Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Apesar do programa enfrentar problemas na coordenacao, o curso foi excelente, gracas a dedicacao de professores;
Feminino;Doutorado;2013;Engenharia de Producao;10;2;2;2;3;3;3;2;3;3;2;2;2;3;3;2;3;3;2;;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;1;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;A UNIFEI e muito renomada na minha area e as experiencias que tive sao muito boas. So tenho boas recordacoes, e estou realizada profissionalmente. Desde a Graduacao tinha o desejo se seguir a careia academica. A UNIFEI tambem me possibilitou realizacao pessoal. ;
Feminino;Mestrado;2017;Engenharia de Materiais;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;3;Nao;Nao;Nao;Nao;Nao;Nao;;Sim;Sim;2;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;Sou muito realizada, satisfeita, agradecida pela minha formacao na UNIFEI.;
Feminino;Doutorado;2013;Ciencia e Tecnologia da Computacao;10;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Avanco cientifico;Sim;Sim;Nao;;Docente;Sim;Nao;;Sim;Sim;Sou plenamente satisfeita com minha passagem pela UNIFEI. Evolui profundamente pessoal e profissionalmente. Ter estudado em uma instituicao de excelencia como a UNIFEI, sobretudo em um programa de pos nivel 6, como o SNP, me cunhou como uma profissional que se destaca facilmente em minha atual instituicao. Alem disso, certamente esta maneira de me relacionar com o trabalho desenvolvida na UNIFEI, me faz uma pessoa muito mais preparada para diversos desafios que extrapolam minha carreira. Sou muito grata a UNIFEI pela pessoa que me tornei. ;Setor que a semelhanca da universidade como um todo, sempre transpareceu muito compromisso e seriedade.  
